# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
2032 1.322917 1.41940148e-05 5.14171312e-05 0.276056 0.011933 2.084087e-06 5.808172e-06 -0.101111 7.584128e-04 4.886420e-02 4.079534e-01 0.000702 1.118536 1.647538e-06
2048 1.333333 1.39570986e-05 5.07237330e-05 0.275159 0.011930 2.037365e-06 5.683395e-06 -0.101530 7.613510e-04 4.827247e-02 4.093269e-01 0.000705 1.119737 1.641069e-06
2064 1.343750 1.37254485e-05 5.00450462e-05 0.274262 0.011927 1.991908e-06 5.562215e-06 -0.101955 7.642641e-04 4.767384e-02 4.106848e-01 0.000707 1.120926 1.634582e-06
2080 1.354167 1.34988997e-05 4.93806809e-05 0.273364 0.011923 1.947672e-06 5.444510e-06 -0.102387 7.671527e-04 4.706979e-02 4.120271e-01 0.000703 1.122104 1.628085e-06
2096 1.364583 1.32772953e-05 4.87302581e-05 0.272465 0.011916 1.904617e-06 5.330166e-06 -0.102824 7.700171e-04 4.646176e-02 4.133535e-01 0.000698 1.123271 1.621580e-06
2112 1.375000 1.30604860e-05 4.80934100e-05 0.271565 0.011907 1.862704e-06 5.219071e-06 -0.103269 7.728578e-04 4.585109e-02 4.146639e-01 0.000693 1.124426 1.615063e-06
2128 1.385417 1.28483298e-05 4.74697795e-05 0.270663 0.011893 1.821895e-06 5.111116e-06 -0.103721 7.756751e-04 4.523904e-02 4.159581e-01 0.000688 1.125570 1.608532e-06
2144 1.395833 1.26406911e-05 4.68590195e-05 0.269760 0.011876 1.782154e-06 5.006197e-06 -0.104181 7.784696e-04 4.462680e-02 4.172361e-01 0.000683 1.126702 1.601992e-06
2160 1.406250 1.24374407e-05 4.62607922e-05 0.268855 0.011854 1.743447e-06 4.904213e-06 -0.104648 7.812416e-04 4.401548e-02 4.184977e-01 0.000679 1.127823 1.595452e-06
2176 1.416667 1.22384552e-05 4.56747690e-05 0.267948 0.011827 1.705742e-06 4.805067e-06 -0.105123 7.839915e-04 4.340611e-02 4.197429e-01 0.000676 1.128933 1.588918e-06
