# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
2000 1.302083 9.76559339e-06 2.41792801e-05 0.403883 -0.061264 1.171170e-06 2.867386e-06 -0.074765 1.948632e-03 2.636376e-02 4.018086e-01 0.293117 0.002156 -1.074095e-07
2016 1.312500 9.57841454e-06 2.38154279e-05 0.402194 -0.061661 1.142692e-06 2.797570e-06 -0.076361 1.945809e-03 2.589569e-02 4.032716e-01 0.293496 0.002139 -1.034532e-07
2032 1.322917 9.39571333e-06 2.34601253e-05 0.400497 -0.062046 1.115038e-06 2.729892e-06 -0.077975 1.942955e-03 2.542741e-02 4.047277e-01 0.293858 0.002123 -9.961917e-08
2048 1.333333 9.21735249e-06 2.31131316e-05 0.398793 -0.062420 1.088177e-06 2.664282e-06 -0.079608 1.940070e-03 2.495943e-02 4.061761e-01 0.294199 0.002107 -9.590057e-08
2064 1.343750 9.04320047e-06 2.27742119e-05 0.397081 -0.062785 1.062084e-06 2.600672e-06 -0.081258 1.937156e-03 2.449228e-02 4.076163e-01 0.294529 0.002091 -9.227868e-08
2080 1.354167 8.87313119e-06 2.24431382e-05 0.395361 -0.063140 1.036733e-06 2.538994e-06 -0.082925 1.934213e-03 2.402649e-02 4.090477e-01 0.294850 0.002076 -8.873854e-08
2096 1.364583 8.70702375e-06 2.21196895e-05 0.393632 -0.063488 1.012098e-06 2.479185e-06 -0.084611 1.931243e-03 2.356257e-02 4.104697e-01 0.295165 0.002060 -8.527906e-08
2112 1.375000 8.54476211e-06 2.18036520e-05 0.391896 -0.063829 9.881562e-07 2.421183e-06 -0.086313 1.928246e-03 2.310103e-02 4.118818e-01 0.295469 0.002045 -8.190964e-08
2128 1.385417 8.38623484e-06 2.14948183e-05 0.390151 -0.064164 9.648850e-07 2.364928e-06 -0.088033 1.925223e-03 2.264236e-02 4.132834e-01 0.295758 0.002030 -7.863763e-08
2144 1.395833 8.23133489e-06 2.11929860e-05 0.388399 -0.064493 9.422625e-07 2.310363e-06 -0.089769 1.922175e-03 2.222271e-02 4.146740e-01 0.296060 0.002015 -7.545998e-08
2160 1.406250 8.07995934e-06 2.08979580e-05 0.386639 -0.064817 9.202678e-07 2.257431e-06 -0.091521 1.919103e-03 2.191730e-02 4.160530e-01 0.296333 0.002001 -7.236496e-08
